User_ID,Age,Gender,Location,Education,Occupation,Primary_App,Usage_Frequency,Daily_Usage_Time,Reason_for_Using,Satisfaction,Desired_Features,Preferred_Communication,Partner_Priorities
1,45,male,Bangalore,Undergraduate,Freelancer,bumble,Monthly,1 hour,Finding a Partner,4,Audio Calls,Video Calls,Values > Personality > Appearance
2,24,MALE,Delhi,Undergraduate,Part-time Job,Hinge,Weekly,20 minutes,Casual Dating,10,Video Calls,Text,Values > Personality > Appearance
3,24,Non-binary,Kolkata,Undergraduate,Intern,NA,Weekly,2 hours,Casual Dating,4,Detailed Profiles,Text,Values > Personality > Appearance
4,22,Non-binary,Delhi,Graduate,Full-time Job,NA,Daily,30 minutes,Casual Fun,3,AI Recommendations,Voice Notes,Personality > Interests > Values
5,18,Male,Delhi,Graduate,Intern,OkCupid,Weekly,2 hours,Casual Fun,4,Video Calls,Text,Appearance > Interests > Personality
6,23,Female,Mumbai,Undergraduate,Student,OkCupid,Daily,1.5 hours,Casual Dating,2,Audio Calls,Video Calls,Values > Personality > Appearance
7,22,Non-binary,Chennai,Postgraduate,Part-time Job,Tinder,Monthly,30 minutes,Finding a Partner,4,Audio Calls,Text,Personality > Interests > Values
8,21,Female,Pune,Postgraduate,Freelancer,Hinge,Weekly,1.5 hours,Finding a Partner,2,Audio Calls,Video Calls,Values > Personality > Appearance
9,20,Male,Pune,Postgraduate,Part-time Job,Hinge,Daily,2 hours,Finding a Partner,1,Audio Calls,Text,Values > Personality > Appearance
10,20,Non-binary,Chennai,Undergraduate,Intern,OkCupid,Weekly,3 hours,Finding a Partner,1,Location-Based Matching,Video Calls,Values > Personality > Appearance
11,18,Female,Hyderabad,Postgraduate,Full-time Job,Tinder,Daily,1 hour,Social Interaction,1,Location-Based Matching,Voice Notes,Appearance > Interests > Personality
12,21,Male,Delhi,Undergraduate,Part-time Job,NA,Monthly,3 hours,Finding a Partner,1,Audio Calls,Voice Notes,Appearance > Interests > Personality
13,22,Male,Bangalore,Undergraduate,Student,Hinge,Monthly,1 hour,Casual Dating,3,Video Calls,Video Calls,Personality > Interests > Values
14,19,Non-binary,Bangalore,Undergraduate,Student,Hinge,Daily,2 hours,Social Interaction,1,AI Recommendations,Voice Notes,Personality > Interests > Values
15,22,Non-binary,Chennai,Graduate,Intern,Hinge,Daily,1.5 hours,Casual Fun,1,Audio Calls,Voice Notes,Appearance > Interests > Personality
16,19,Female,Bangalore,Undergraduate,Freelancer,Hinge,Daily,1.5 hours,Casual Dating,5,Detailed Profiles,Text,Appearance > Interests > Personality
17,22,Non-binary,Hyderabad,Graduate,Part-time Job,Bumble,Monthly,1 hour,Casual Fun,3,Location-Based Matching,Video Calls,Values > Personality > Appearance
18,19,Non-binary,Hyderabad,Graduate,Student,OkCupid,Monthly,1 hour,Finding a Partner,3,Detailed Profiles,Text,Personality > Interests > Values
19,24,Male,Hyderabad,Graduate,Intern,NA,Daily,30 minutes,Casual Dating,2,AI Recommendations,Video Calls,Personality > Interests > Values
20,22,Non-binary,Pune,Undergraduate,Student,Hinge,Weekly,1.5 hours,Finding a Partner,1,Video Calls,Voice Notes,Appearance > Interests > Personality
21,22,Male,Mumbai,Postgraduate,Freelancer,Hinge,Weekly,3 hours,Social Interaction,1,AI Recommendations,Video Calls,Values > Personality > Appearance
22,25,Non-binary,Hyderabad,Undergraduate,Intern,NA,Weekly,3 hours,Finding a Partner,5,AI Recommendations,Text,Appearance > Interests > Personality
23,20,Female,Pune,Graduate,Full-time Job,Hinge,Daily,3 hours,Finding a Partner,4,Audio Calls,Video Calls,Appearance > Interests > Personality
24,18,Male,Delhi,Graduate,Freelancer,Tinder,Weekly,2 hours,Casual Dating,5,Detailed Profiles,Text,Appearance > Interests > Personality
25,24,Male,Bangalore,Postgraduate,Full-time Job,NA,Daily,2 hours,Social Interaction,3,Location-Based Matching,Text,Values > Personality > Appearance
